purchase_id,customer_name,artwork_title,purchase_date
P5143,Lee Banting,"Thelesperma burridgeanum (Regel, Korn. & Rach.) S.F. Blake",2026-05-30 17:58:41
P5265,Orion McEneny,Crossidium squamiferum (Viv.) Jur.,2026-05-30 18:16:07
P5387,Emily Inman,Caperonia castaneifolia (L.) A. St.-Hil.,2026-05-30 18:42:36
P5409,Danit Sparwell,Callisia repens (Jacq.) L.,2026-05-30 19:05:19
P5531,Alic Cass,Saponaria pumilio (L.) Fenzl ex A. Braun,2026-05-30 19:29:54
P5653,Lindsey Osichev,Castilleja miniata Douglas ex Hook. ssp. dixonii (Fernald) Kartesz,2026-05-30 19:50:12
P5775,Zabrina Dacke,Pyrenula macularis (Zahlbr.) R.C. Harris,2026-05-30 10:18:36
P5897,Filia Stanbury,Ericameria greenei (A. Gray) G.L. Nesom,2026-05-30 11:01:55
P5919,Morgan Ponten,Euphorbia hexagona Nutt. ex Spreng.,2026-05-31 10:04:44
P6031,Nate Mainwaring,Arenaria stenomeres Eastw.,2026-05-31 10:28:15
P6153,Tedmund Mudge,Solidago canadensis L. var. lepida (DC.) Cronquist,2026-05-31 10:51:37
P6275,Thatcher Elletson,Eucalyptus loxophleba Benth.,2026-05-31 11:16:09
P6397,Rem Fishburn,Rosa stellata Wooton ssp. abyssa A. Phillips,2026-05-31 11:42:30
P6419,Kingsly De Laci,Collinsia torreyi A. Gray var. wrightii (S. Watson) I.M. Johnst.,2026-05-31 12:03:11
P6541,Thadeus Laughton,Malvella sagittifolia (A. Gray) Fryxell,2026-05-31 12:25:47
P6663,Katharina Officer,Thelomma santessonii Tibell,2026-05-31 12:49:58
P6785,Klara Sloan,Pentachaeta aurea Nutt. ssp. aurea,2026-05-31 13:07:26
P6807,Giacomo Sabin,Fraxinus papillosa Lingelsh.,2026-05-31 13:31:53
P6929,Dukie Oen,Lewisia cotyledon (S. Watson) B.L. Rob. var. howellii (S. Watson) Jeps.,2026-05-31 13:55:14
P7041,Madelene Binch,Buxbaumia Hedw.,2026-05-31 14:12:38
P7163,Charo Fairlie,Parietaria officinalis L.,2026-05-31 14:37:05
P7285,Kalina Filtness,Laurera Rchb.,2026-05-31 15:02:41
P7307,Barr Younge,Galium emeryense Dempster & Ehrend.,2026-05-31 15:24:19
P7429,Shela Hallad,Aquilegia jonesii Parry var. jonesii,2026-05-31 15:48:52
P7551,Maximo Bordes,Nephrolepis exaltata (L.) Schott ssp. exaltata,2026-05-31 16:06:13
P7673,Emmye Bortol,Arctostaphylos tomentosa (Pursh) Lindl. ssp. insulicola P.V. Wells,2026-05-31 16:32:40
P7795,Kevyn Birds,Chamaedorea seifrizii Burret,2026-05-31 16:58:03
P7817,Amos Shawyer,Coursetia DC.,2026-05-31 17:15:29
P7939,Romy Ianno,Scorpidium (Schimp.) Limpr.,2026-05-31 17:39:51
P8051,Vincenz Kinsman,Pycnanthemum californicum Torr. ex Durand,2026-05-31 18:01:17
P8173,Bryan Wolters,Stuckenia filiformis (Pers.) Börner,2026-05-31 18:26:45
P8295,Levin Egle,Trifolium echinatum M. Bieb. var. echinatum,2026-05-31 18:49:08
P8317,Yasmeen Queyos,Ranunculus andersonii A. Gray,2026-05-31 19:13:36
P8439,Barbie Confait,Protothelenella sphinctrinoides (Nyl.) H. Mayrh. & Poelt,2026-05-31 19:37:22
P8561,Blinni Spurden,Campanula glomerata L.,2026-05-31 19:59:59
P8683,Asia Biles,Alternanthera hassleriana Chodat ex Chodat & Hassler,2026-05-31 10:21:10
P8705,Amberly Kayser,Linaria spartea (L.) Chaz.,2026-05-31 11:08:44
P8827,Dur Oldmeadow,Rubus glaucifolius Kellogg var. glaucifolius,2026-05-31 12:14:33
P8949,Lesli McGonigle,Buglossoides arvensis (L.) I.M. Johnst.,2026-05-31 13:22:57
P9061,Netta Purchon,Silphium laciniatum L. var. laciniatum,2026-05-31 14:18:49
P9183,Augustine Done,Packera spellenbergii (T.M. Barkley) C. Jeffrey,2026-05-31 15:36:12
P9205,Virgina Sulter,Helenium ×polyphyllum Small (pro sp.),2026-05-31 16:44:28
P9327,Cornie Grinsdale,Ivesia utahensis S. Watson,2026-05-31 17:52:09
P9449,Yvonne Dudson,Calamagrostis stricta (Timm) Koeler,2026-05-31 18:33:55
P9571,Pepe Tiddy,Beta atriplicifolia Rouy,2026-05-31 19:46:18
P9693,Whitman Riddall,Sphaerophorus globosus (Huds.) Vain. var. gracilis (Müll. Arg.) Zahlbr.,2026-05-29 10:03:12
P9715,Norine Newlyn,Acacia macracantha Humb. & Bonpl. ex Willd.,2026-05-29 10:15:47
P9837,Denna Margaret,Polyblastia theleodes (Sommerf.) Th. Fr.,2026-05-29 10:42:05
P9999,Ezra Swindell,Passiflora suberosa L.,2026-05-29 11:08:33
